;Feature;Importance
149;bairro_New Dorp Beach;0.0
150;bairro_New Springville;6.842287826035788e-09
151;bairro_NoHo;0.0008430547275130055
152;bairro_Nolita;0.004266781354965311
153;bairro_North Riverdale;0.0
154;bairro_Norwood;3.459554570448999e-06
155;bairro_Oakwood;0.0
156;bairro_Olinville;0.0
157;bairro_Ozone Park;1.0935197420843973e-06
158;bairro_Park Slope;0.00011095451866232214
159;bairro_Parkchester;7.925953414013112e-07
160;bairro_Pelham Bay;0.0
161;bairro_Pelham Gardens;5.292046421676127e-06
162;bairro_Port Morris;1.5835439095915714e-07
163;bairro_Port Richmond;4.9804466448052006e-09
164;bairro_Prince's Bay;0.0
165;bairro_Prospect Heights;0.004115435718205887
166;bairro_Prospect-Lefferts Gardens;0.0005775823310789339
167;bairro_Queens Village;1.8702456093486422e-06
168;bairro_Randall Manor;2.492059400237885e-08
169;bairro_Red Hook;1.6685099966675356e-05
170;bairro_Rego Park;1.7012589334465505e-05
171;bairro_Richmond Hill;1.825729893952233e-05
172;bairro_Richmondtown;0.0
173;bairro_Ridgewood;1.6329098097345143e-05
174;bairro_Riverdale;0.00111606126936739
175;bairro_Rockaway Beach;1.5771514238049165e-05
176;bairro_Roosevelt Island;0.0003147493556135852
177;bairro_Rosebank;0.0
178;bairro_Rosedale;7.023501170476641e-08
179;bairro_Rossville;0.0
180;bairro_Schuylerville;1.4325152229311243e-06
181;bairro_Sea Gate;0.0
182;bairro_Sheepshead Bay;6.350944812705356e-05
183;bairro_Shore Acres;0.0
184;bairro_Silver Lake;0.0
185;bairro_SoHo;0.00380485527712894
186;bairro_Soundview;0.0
187;bairro_South Beach;0.0
188;bairro_South Ozone Park;8.045331154700507e-06
189;bairro_South Slope;1.5671585366248467e-05
190;bairro_Springfield Gardens;6.279529303472371e-06
191;bairro_Spuyten Duyvil;0.0
192;bairro_St. Albans;2.818074126643393e-05
193;bairro_St. George;4.350879737654988e-06
194;bairro_Stapleton;4.430700248074347e-06
195;bairro_Stuyvesant Town;4.391132060821342e-08
196;bairro_Sunnyside;1.2986096544671155e-05
197;bairro_Sunset Park;0.000684278080269073
198;bairro_Theater District;0.001761702759211112
199;bairro_Throgs Neck;1.925738072935614e-06
200;bairro_Todt Hill;0.0
201;bairro_Tompkinsville;1.917572133078614e-06
202;bairro_Tottenville;0.0
203;bairro_Tremont;0.0
